Contractyearmonth,Layer,surfacearea,Residentialarea,Dedicatedarea2,time,km2,fee,bus,subm,culture,sports
201903,4,43711,27346.75,40,43,12,1350,2,430,2,4
201905,11,61834,38307.11,60,44,12,1350,0,479,2,4
201905,3,105770,57032.74,85,53,14,1350,2,711,0,2
201906,3,116107,60280.11,84,52,14,1350,0,536,0,2
201905,8,381065,211278.78,121,46,11,1350,2,756,0,1
201901,1,81117,50581.44,26,46,11,1350,2,816,1,4
201906,5,53498,31208.09,85,36,9,1250,2,287,3,0
201905,13,117966,54704.09,65,36,9,1250,1,716,2,0
201905,2,76553,67216.68,64,35,10,1250,2,714,1,0
201905,14,243461,69171.24,148,20,7,1250,4,158,10,2
201907,3,34950,23856.36,42,27,8,1250,1,370,11,4
201901,10,265792,109302.774,123,28,8,1250,3,690,9,6
201901,6,935380,470139.94,85,24,6,1250,3,234,8,6
201905,4,58786,30048.26,60,42,12,1350,1,360,0,0
201907,6,43662,25187.5,85,46,13,1350,6,628,0,0
201911,13,30646,16719.63,85,40,12,1350,1,331,0,0
201908,7,31808,18773.18,85,40,12,1350,4,1079,1,4
201909,12,43249,22522.79,85,46,13,1350,4,737,0,0
201904,3,91404,53093.74,85,48,12,1350,2,806,0,0
201910,4,23655,13479.87,85,45,12,1350,6,461,0,0
201905,11,57373,30770.04,85,42,12,1350,3,368,0,0
201903,14,72224,42285.52,85,45,12,1350,6,544,0,0
201904,9,68286,35108.58,85,42,12,1350,2,412,0,0
201906,16,72535,34503.12,60,39,12,1350,7,196,0,0
201906,3,81605,38576.72,60,39,12,1350,3,231,0,0
201904,7,26573,15540.94,126,35,10,1250,4,197,3,8
201905,4,78151,47483.48,59,50,17,1450,0,615,4,6
201907,3,24523,16137.39,85,61,24,1450,3,390,5,6
201907,3,22553,12519.94,85,61,24,1450,5,1173,5,6
201911,15,96516,48147.01,162,54,21,1450,4,867,6,13
201902,3,16336,13128.5,85,61,26,1550,0,1666,0,2
201904,12,22236,14488.94,85,61,22,1550,0,588,1,1
201910,2,28844,17366.79,60,61,19,1200,2,816,2,2
201901,3,22424,12114.51,77,61,24,1550,4,1190,1,4
201909,6,16977,13109.72,85,53,19,1450,2,330,5,16
201906,18,53073,29064,60,42,18,1350,5,387,3,3
201902,18,33622,19680.32,85,48,14,1350,3,650,3,3
201904,14,21716,7942.56,29,36,14,1350,11,127,3,6
201906,1,23246,13780.06,38,42,17,1350,5,674,6,13
201902,26,137005,68416.544,85,45,17,1450,5,805,6,9
201906,7,157024,92300.23,85,44,18,1450,3,347,5,10
201906,21,24444,15217,60,45,18,1450,3,557,4,16
201905,16,73157,57010.79,60,42,13,1350,3,612,2,11
201911,11,27724,17039.43,85,39,14,1350,7,505,2,11
201906,20,124284,63934.03,137,44,11,1250,5,440,2,2
201905,23,114226,59758.04,120,35,11,1350,5,247,2,4
201904,6,203904,92651.53,149,38,11,1350,4,244,2,5
201903,19,307282238,186887.603,60,45,17,1450,5,470,4,4
201907,9,104018,57056.25,115,45,17,1450,11,599,4,5
201910,10,38913,19452.83,109,41,10,1200,4,279,24,7
201905,15,193955,107575.09,169,39,12,1250,4,384,7,10
201906,4,68371,39044.72,135,43,12,1250,3,600,6,12
201906,13,57480,38782.74,60,45,14,1350,2,951,8,3
201906,4,37771,19950.578,133,39,9,1200,2,268,15,5
201906,5,148969,40423.73,123,39,9,1200,3,188,11,2
201901,10,211772,112633.948,233,29,5,1200,1,746,27,0
201902,11,44414,21651.61,32,24,5,1200,7,574,26,0
201903,11,56723,31933.876,129,30,6,1200,1,479,23,0
201907,14,46942,24238.53,59,37,10,1200,13,357,20,10
201902,5,16910,14228.28,63,46,10,1200,3,422,22,7
201901,8,37171,28144.603,85,61,19,1400,6,962,2,1
201904,9,33179,16389.03,116,61,25,1550,2,707,2,1
201907,8,39557,22894.949,60,56,18,1450,1,213,6,5
201901,16,36960,19788.99,115,61,23,1550,6,835,3,6
201908,6,95385,54503.469,60,61,19,1450,5,491,4,2
201905,9,73111,35322.89,60,61,19,1450,5,369,4,2
201909,13,20138,14098.14,84,61,20,1400,5,703,1,1
201902,7,20062,10592.28,60,61,19,1400,1,287,2,0
201904,18,28789,18529.08,58,61,23,1550,0,1024,0,0
201901,1,66632,33965.97,114,61,19,1400,6,982,2,0
201911,7,57855,27393.83,85,61,18,1400,4,832,7,4
201905,4,163510,83606.28,84,61,23,1550,4,1034,1,4
201902,1,163636,68113.24,85,61,22,1550,7,880,2,4
201905,6,122530,61715.17,115,61,23,1550,8,987,2,10
201905,17,38416,21679.35,85,47,13,1350,5,138,16,8
201905,11,63836,32968.72,60,47,11,1250,9,159,7,6
201907,13,45692,22574.0708,60,46,12,1200,2,356,8,5
201904,8,22847,13245.16,49,45,14,1350,1,421,69,0
201904,9,83068,44882.36,85,41,9,1200,4,514,6,11
201907,9,55193,28079.999,109,40,9,1200,5,326,8,4
201912,22,74075,38196.84,140,40,10,1200,3,317,40,3
201906,21,32693,17409.12,60,43,12,1200,2,652,3,11
201902,2,50897,37356,85,50,15,1450,3,563,2,2
201908,5,19822,14768.82,85,51,13,1350,0,585,3,8
201905,5,43455,30457.98,59,52,13,1350,1,613,2,2
201907,15,190866,93848.93,85,61,18,1450,6,733,1,2
201907,35,265792,109303,123,28,8,1250,3,690,9,6
201909,41,265792,109303,164,28,8,1250,3,690,9,6
201910,22,265792,109303,152,28,8,1250,3,690,9,6
201911,20,265792,109303,176,28,8,1250,3,690,9,6
201912,2,265792,109303,176,28,8,1250,3,690,9,6
201901,6,935380,470140,85,24,6,1250,3,234,8,6
201902,5,935380,470140,85,24,6,1250,3,234,8,6
201902,21,935380,470140,60,24,6,1250,3,234,8,6
201902,2,935380,470140,60,24,6,1250,3,234,8,6
201903,6,935380,470140,60,24,6,1250,3,234,8,6
201903,18,935380,470140,85,24,6,1250,3,234,8,6
201903,24,935380,470140,85,24,6,1250,3,234,8,6
201903,8,935380,470140,60,24,6,1250,3,234,8,6
201903,9,935380,470140,85,24,6,1250,3,234,8,6
201903,12,935380,470140,85,24,6,1250,3,234,8,6
201903,19,935380,470140,85,24,6,1250,3,234,8,6
201904,18,935380,470140,60,24,6,1250,3,234,8,6
201904,17,935380,470140,85,24,6,1250,3,234,8,6
201905,9,935380,470140,60,24,6,1250,3,234,8,6
201905,7,935380,470140,85,24,6,1250,3,234,8,6
201905,6,935380,470140,85,24,6,1250,3,234,8,6
201905,3,935380,470140,60,24,6,1250,3,234,8,6
201905,8,935380,470140,85,24,6,1250,3,234,8,6
201905,12,935380,470140,60,24,6,1250,3,234,8,6
201905,13,935380,470140,85,24,6,1250,3,234,8,6
201905,22,935380,470140,85,24,6,1250,3,234,8,6
201905,26,935380,470140,85,24,6,1250,3,234,8,6
201905,16,935380,470140,60,24,6,1250,3,234,8,6
201905,3,935380,470140,85,24,6,1250,3,234,8,6
201906,23,935380,470140,60,24,6,1250,3,234,8,6
201906,8,935380,470140,85,24,6,1250,3,234,8,6
201906,5,935380,470140,85,24,6,1250,3,234,8,6
201906,14,935380,470140,85,24,6,1250,3,234,8,6
201906,26,935380,470140,85,24,6,1250,3,234,8,6
201906,8,935380,470140,85,24,6,1250,3,234,8,6
201906,18,935380,470140,85,24,6,1250,3,234,8,6
201906,14,935380,470140,85,24,6,1250,3,234,8,6
201906,3,935380,470140,85,24,6,1250,3,234,8,6
201906,6,935380,470140,60,24,6,1250,3,234,8,6
201906,23,935380,470140,85,24,6,1250,3,234,8,6
201906,3,935380,470140,60,24,6,1250,3,234,8,6
201906,25,935380,470140,85,24,6,1250,3,234,8,6
201906,3,935380,470140,85,24,6,1250,3,234,8,6
201906,19,935380,470140,85,24,6,1250,3,234,8,6
201906,16,935380,470140,85,24,6,1250,3,234,8,6
201907,15,935380,470140,85,24,6,1250,3,234,8,6
201907,5,935380,470140,60,24,6,1250,3,234,8,6
201907,7,935380,470140,85,24,6,1250,3,234,8,6
201907,17,935380,470140,85,24,6,1250,3,234,8,6
201907,7,935380,470140,60,24,6,1250,3,234,8,6
201907,1,935380,470140,85,24,6,1250,3,234,8,6
201907,2,935380,470140,85,24,6,1250,3,234,8,6
201907,21,935380,470140,85,24,6,1250,3,234,8,6
